author,comments,name,press,price,rank
英国快乐瓢虫出版公司,169286条评论,小猪佩奇（全10册）,安徽少年儿童出版社,¥91.40,151.
东野圭吾,425770条评论,东野圭吾：嫌疑人X的献身,南海出版公司,¥33.30,57.
克里斯多福·孟,44320条评论,亲密关系：通往灵魂的桥梁（2015全新修订版）,湖南文艺出版社,¥24.20,58.
王国维,160287条评论,人间词话（近代极富盛名的词话著作，集编、校、释、评于一体，赏,北京联合出版公司,¥20.60,59.
尤瓦尔·赫拉利,88238条评论,人类简史：从动物到上帝（新版）,中信出版社,¥64.60,60.
米拦弗特毕,137372条评论,暖暖心绘本（全四辑19本）,湖南少儿出版社,¥129.70,152.
米兰弗特毕,1373条评论,暖暖心绘本·珍藏礼品装（全30册，为3~7岁处在性格形成关键期的孩,湖南少年儿童出版社,¥220.80,153.
霍达,88414条评论,穆斯林的葬礼（2015版）,北京十月文艺出版社,¥47.30,154.
保罗·柯艾略,39478条评论,牧羊少年奇幻之旅,北京十月文艺出版社,¥33.30,155.
路遥,151975条评论,人生（影响千万青年的励志名篇-- 马云、贾樟柯倾情推荐！）,北京十月文艺出版社,¥22.40,156.
余华,29891条评论,活着（精装版，余华代表作，25周年特别修订）,北京十月文艺出版社,¥31.30,157.
艾迪特·史莱博·维克,91874条评论,学会爱自己（第3辑）（不为坏人保守秘密，不随便顺从别人！学会保,青岛出版社,¥79.30,158.
张爱玲,166003条评论,张爱玲全集01：倾城之恋（2012年全新修订版）,北京十月文艺出版社,¥26.60,159.
吉田纯子,139461条评论,0-4岁幼儿认知小百科（全3册),长江少年儿童出版社,¥82.40,160.
林语堂,17211条评论,苏东坡传（林语堂精装2018版）（1-9年级必读书单）,湖南文艺出版社,¥41.60,181.
莫提默·J.艾德勒,41827条评论,如何阅读一本书,商务印书馆,¥43.30,182.
史蒂芬·柯维,20779条评论,高效能人士的七个习惯（精华版）(团购，请致电010-57993149),中国青年出版社,¥34.90,183.
玛莉,88781条评论,小兔汤姆旅行版（全26册）,海燕出版社,¥105.00,184.
徐静,31441条评论,此刻花开（一本精美绝伦的手工纸雕书）,百花洲文艺出版社,¥58.00,185.
张嘉佳,906904条评论,从你的全世界路过,湖南文艺出版社,¥28.80,186.
乔斯夫托普森,21607条评论,我的大画本（全3册）,陕西人民教育出版社,¥68.80,187.
郑渊洁,41179条评论,郑渊洁十年未出版的经典童话,天津人民出版社,¥49.30,188.
默娜·R.舒尔,47996条评论,如何培养孩子的社会能力（全美畅销书 获4项美国大奖的经典之作）,京华出版社,¥15.80,189.
王小波,5556条评论,爱你就像爱生命（精装彩插典藏版）,湖南文艺出版社,¥27.40,190.
蔡康永,202208条评论,蔡康永的说话之道套装（全二册）,湖南文艺出版社,¥52.00,191.
何权峰,8166条评论,格局,江苏文艺出版社,¥30.40,192.
大冰,284011条评论,乖，摸摸头（大冰暖心故事）,湖南文艺出版社,¥28.80,193.
小马宋,173条评论,朋友圈的尖子生,重庆出版社,¥49.00,194.
周志华,22710条评论,机器学习,清华大学出版社,¥70.40,195.
杨其铎,66055条评论,四五快读 全彩图升级版——幼儿快速识字阅读法（全8册）(让孩子爱,湖南科技出版社,¥188.60,196.
马德琳·英格,19680条评论,梅格时空大冒险（套装全5册）（含《时间的折皱》[又名《时间的皱,文汇出版社,¥195.10,197.
法国纳唐出版社,3348条评论,法国巨眼丛书：让孩子看懂世界的第一套科普经典（全56册）,中信出版社,¥474.70,198.
肯·福莱特,143046条评论,巨人的陨落（套装全3册）（全球读者平均3个通宵读完！）,江苏文艺出版社,¥64.90,199.
理查德.格里格,128135条评论,心理学与生活（第16版，中文版）,人民邮电出版社,¥78.32,200.
中国诗词大会栏目组,3795条评论,中国诗词大会 第二季上下册（全两册）,北京联合出版有限公司,¥58.80,101.
尼尔.布朗,93471条评论,学会提问（原书第10版）（批判性思维领域的“圣经”，看见柴静诸,机械工业出版社,¥32.90,102.
宫西达也,35596条评论,你看起来好像很好吃（恐龙简装套装全7册）,２１世纪出版社,¥109.10,103.
大卫·香农David,56147条评论,大卫不可以+大卫上学去+大卫惹麻烦（大卫系列全3册）,河北教育出版社,¥87.70,104.
沈复,16520条评论,浮生六记（汪涵贾平凹推荐！全本全译全注，精装插图珍藏。无需古,浙江文艺出版社,¥32.40,105.
吴晓波,40912条评论,大败局1、2（修订版）套装【当当网独家特供】（财经作家吴晓波经,浙江大学出版社,¥70.60,106.
习近平,812条评论,习近平谈治国理政 第二卷 中文版平装本 （100册以上团购请联系团,外文出版社,¥64.00,107.
林徽因,175936条评论,你是人间四月天（民国女神林徽因诗歌、散文、小说代表作完整收录,北京联合出版公司,¥19.30,108.
达芙妮·斯金纳,101615条评论,数学帮帮忙（全25册）多功能数学绘本,新蕾出版社,¥171.30,109.
歪歪兔关键期早教项目组,101482条评论,歪歪兔行为习惯系列互动图画书（全10册，赠完整版动画片DVD）,海豚出版社,¥75.80,110.
东野圭吾,3147条评论,秘密 （东野圭吾创作生涯里程碑）,南海出版公司,¥42.80,111.
怀特,295653条评论,夏洛的网（新）,上海译文出版社,¥25.10,112.
Goodfellow,3589条评论,深度学习   人工智能算法，机器学习奠基之作，AI圣经,人民邮电出版社,¥149.50,113.
罗伯特·清崎,21922条评论,富爸爸穷爸爸（20周年修订版）（团购，请致电010-57993149）,四川人民出版社,¥42.20,114.
星文文化,2803条评论,愿所有相遇，都恰逢其时,浙江文艺出版社,¥33.60,115.
HIT公司,268条评论,托马斯和朋友宝宝睡前故事（30册）,人民邮电出版社,¥67.60,116.
安野光雅,106645条评论,走进奇妙的数学世界（全3册）,新星出版社,¥107.20,117.
郑渊洁,90788条评论,郑渊洁给孙女的好习惯书：十二生肖童话绘本,天津人民出版社,¥106.60,118.
村上春树,53398条评论,挪威的森林(村上春树影响几代读者的畅销青春名作，特有的感伤和孤,上海译文出版社,¥31.40,119.
芭芭拉库尼,85581条评论,花婆婆,河北教育出版社,¥21.20,120.
陈忠实,6132条评论,白鹿原,作家出版社,¥34.00,221.
华生,19482条评论,行为心理学,现代出版社,¥29.10,222.
斯塔夫里阿诺斯,167166条评论,全球通史:从史前史到21世纪（第7版修订版上下册，当当独家赠送全,北京大学出版社,¥91.20,223.
渡边淳一,7992条评论,钝感力（渡边淳一经典：具备不为小事动摇的钝感力，才能成为真正,青岛出版社,¥29.00,224.
孙家裕,1281条评论,大中华寻宝系列23  广西寻宝记 ,二十一世纪出版社,¥22.50,225.
东野圭吾,1380条评论,东野圭吾新作：白金数据（凶手，竟然是我自己？！）,北京联合出版有限公司,¥33.40,226.
东野圭吾,102451条评论,幻夜（《白夜行》姊妹篇，东野圭吾“绝望之书”第二弹）,南海出版公司,¥37.50,227.
贾雷德.戴蒙德,21952条评论,枪炮、病菌与钢铁——人类社会的命运(修订版）,上海译文出版社,¥48.30,228.
孙家裕,6107条评论,我的第一本大中华寻宝漫画书22 澳门寻宝记,二十一世纪出版社,¥22.50,229.
稻盛和夫,36518条评论,干法（团购，请致电010-57993149）,机械工业出版社,¥34.80,230.
彼得,18027条评论,穷查理宝典：查理·芒格智慧箴言录（增订本）,中信出版社,¥159.60,231.
格里贝利,50386条评论,走进奇妙的几何世界（全6册）,浙江教育出版社,¥80.40,232.
余秋雨,245576条评论,文化苦旅（1-9年级必读书单）,长江文艺出版社,¥34.00,233.
沈石溪,44508条评论,动物小说大王沈石溪·感悟生命书系（套装共5册）,人民邮电出版社,¥89.80,234.
金波,62777条评论,乌丢丢的奇遇 曹文轩推荐儿童文学经典书系 21000多名读者热评！,北京教育出版社,¥14.30,235.
苏真,346条评论,有故事的汉字 全3辑（当当独家订制版，全9册）,青岛出版社,¥161.50,236.
王秀梅,58712条评论,诗经（上下册精装）（中华经典名著全本全注全译）,中华书局,¥58.90,237.
珊蒂,96210条评论,学会爱自己（第1辑）,青岛出版社,¥36.40,238.
说词解字辞书研究中心,16645条评论,小学生必背古诗词75+80首,华语教学出版社,¥25.20,239.
冯骥才,41948条评论,俗世奇人（全二册）,作家出版社,¥35.70,240.
当年明月,12291条评论,明朝那些事儿全集 增补版（新版全套9册）,北京联合出版有限公司,¥248.40,301.
郑渊洁,1888条评论,郑渊洁性教育启蒙绘本：你从哪里来,天津人民出版社,¥13.70,302.
曾锴,12325条评论,愿你历尽千帆，归来仍是少年,光明日报出版社,¥27.60,303.
皮姆,1085条评论,我不敢说，我怕被骂,北京联合出版公司,¥30.20,304.
林海音,15108条评论,林海音奶奶讲寓言（全4册）,贵州人民出版社,¥64.20,305.
林海音,5993条评论,城南旧事：一部触动千万读者灵魂的童年离骚,江苏人民出版社,¥20.80,306.
亚米契斯,49642条评论,爱的教育（新课标，夏丏尊先生流芳90年经典译本，享誉世界的儿童,安徽教育出版社,¥17.00,307.
亚历山德拉米热林斯卡,74040条评论,《地下水下》手绘百科绘本,贵州人民出版社,¥78.60,308.
朱慧兰,64932条评论,阶梯数学·4岁 （共5册）,北京科学技术出版社,¥54.70,309.
歪歪兔关键期早教项目组,189570条评论,做内心强大的自己——歪歪兔逆商教育系列图画书（挫折教育绘本全,海豚出版社,¥64.20,310.
西蒙·蒙蒂菲奥里,91756条评论,耶路撒冷三千年（第十届文津奖获奖图书）深圳读书月2015年度十大,民主与建设出版社,¥65.20,311.
